user_pseudo_id,predicted_value,predicted_conversion,conversion_probability_group,probability_group
1452492636.1744796746,0.001,0,LOW,0-10%
1829430199.1705024297,0.05281576479076484,0,LOW,0-10%
2087590226.1744685355,0.003,0,LOW,0-10%
1455590745.1744694369,0.001,0,LOW,0-10%
424057932.1743557400,0.000625,0,LOW,0-10%
1326336974.1744866332,0.00962579365079365,0,LOW,0-10%
994453872.1724724987,0.008400000000000001,0,LOW,0-10%
2091456998.1744678077,0.013,0,LOW,0-10%
1980103809.1745280265,0.008159523809523807,0,LOW,0-10%
276066368.1743378850,0.004283730158730159,0,LOW,0-10%
701790746.1602479404,0.001,0,LOW,0-10%
589180243.1727415434,0.008,0,LOW,0-10%
2016318877.1741348809,0.000625,0,LOW,0-10%
219169799.1694477156,0.0057333333333333325,0,LOW,0-10%
1776342992.1732584219,0.008,0,LOW,0-10%
589973798.1743371641,0.03,0,LOW,0-10%
1307702839.1728966840,0.001,0,LOW,0-10%
